Nama Restoran,Preferensi Makanan,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Toko Sering Diskon (Ya/Tidak),Variasi Makanan,Pelayanan Khusus Pasangan (Ya/Tidak),Entertainment,Keramaian Restoran,Disajikan atau Ambil Sendiri,All You Can Eat atau Ala Carte
"Pizza Hut, Sudirman",Western,3.68 km,119000,4.7,Formal,Tidak,"Pizza & pasta, Fast food, Western",Tidak,3,3,Disajikan,Ala Carte
"Roaster and Bear, P. Mangkubumi",Western,3.87 km,87000,4.7,Santai,Tidak,"Rice, Chicken & duck, Beverages, Snacks, Sweets, Western, Coffee, Pizza & pasta",Tidak,3,1,Disajikan,Ala Carte
"Essen Choco Pot, Gedong Kuning",Western,1.8 km,35000,4.7,Santai,Tidak,"Rice, Western, Beverages",Tidak,4,2,Disajikan,Ala Carte
"Zona Seafood, Kotabaru",Chinese,3.24 km,44000,4.8,Santai,Tidak,"Seafood, Chinese",Tidak,3,3,Disajikan,Ala Carte
Burgerax Demangan 2,Western,3.57 km,38000,4.2,Santai,Tidak,"Snacks, Fast food, Western",Tidak,4,3,Disajikan,Ala Carte
"Makan Burger & Toast, Mantrirejon",Western,3.01 km,21000,4.6,Santai,Tidak,Western,Tidak,1,2,Disajikan,Ala Carte
"Reisban Coffee Shop, Menukan",Western,2.13 km,25000,4.7,Santai,Tidak,"Western, Coffee, Beverages",Tidak,1,1,Disajikan,Ala Carte
"Pupa Meatshop, Banguntapan",Western,2.58 km,47000,4.8,Santai,Ya,"Western, Japanese, Korean",Tidak,1,2,Disajikan,Ala Carte
"Pupa Meatshop, Prawirotaman",Western,2.19 km,47000,4.9,Santai,Ya,"Western, Japanese, Korean",Tidak,3,1,Disajikan,Ala Carte
"Pepper Lunch, Hartono Mall",Japanese,6.02 km,92000,4.9,Formal,Ya,"Western, Japanese, Rice, Chicken & duck",Tidak,3,1,Disajikan,Ala Carte
